"name";"url"
"java.lang.ref";"http://developer.android.com/reference/java/lang/ref/package-summary.html"
"java.lang.reflect";"http://developer.android.com/reference/java/lang/reflect/package-summary.html"
"java.math";"http://developer.android.com/reference/java/math/package-summary.html"
"java.net";"http://developer.android.com/reference/java/net/package-summary.html"
"java.nio";"http://developer.android.com/reference/java/nio/package-summary.html"
"java.nio.channels";"http://developer.android.com/reference/java/nio/channels/package-summary.html"
"java.nio.channels.spi";"http://developer.android.com/reference/java/nio/channels/spi/package-summary.html"
"java.nio.charset";"http://developer.android.com/reference/java/nio/charset/package-summary.html"
"java.nio.charset.spi";"http://developer.android.com/reference/java/nio/charset/spi/package-summary.html"
"java.security";"http://developer.android.com/reference/java/security/package-summary.html"
"java.security.acl";"http://developer.android.com/reference/java/security/acl/package-summary.html"
"java.security.cert";"http://developer.android.com/reference/java/security/cert/package-summary.html"
"java.security.interfaces";"http://developer.android.com/reference/java/security/interfaces/package-summary.html"
"java.security.spec";"http://developer.android.com/reference/java/security/spec/package-summary.html"
"java.sql";"http://developer.android.com/reference/java/sql/package-summary.html"
"java.text";"http://developer.android.com/reference/java/text/package-summary.html"
"java.util";"http://developer.android.com/reference/java/util/package-summary.html"
"java.util.concurrent";"http://developer.android.com/reference/java/util/concurrent/package-summary.html"
"java.util.concurrent.atomic";"http://developer.android.com/reference/java/util/concurrent/atomic/package-summary.html"
"java.util.concurrent.locks";"http://developer.android.com/reference/java/util/concurrent/locks/package-summary.html"
"java.util.jar";"http://developer.android.com/reference/java/util/jar/package-summary.html"
"java.util.logging";"http://developer.android.com/reference/java/util/logging/package-summary.html"
"java.util.prefs";"http://developer.android.com/reference/java/util/prefs/package-summary.html"
"java.util.regex";"http://developer.android.com/reference/java/util/regex/package-summary.html"
"java.util.zip";"http://developer.android.com/reference/java/util/zip/package-summary.html"
"javax.crypto";"http://developer.android.com/reference/javax/crypto/package-summary.html"
"javax.crypto.interfaces";"http://developer.android.com/reference/javax/crypto/interfaces/package-summary.html"
"javax.crypto.spec";"http://developer.android.com/reference/javax/crypto/spec/package-summary.html"
"javax.microedition.khronos.egl";"http://developer.android.com/reference/javax/microedition/khronos/egl/package-summary.html"
"javax.microedition.khronos.opengles";"http://developer.android.com/reference/javax/microedition/khronos/opengles/package-summary.html"
"javax.net";"http://developer.android.com/reference/javax/net/package-summary.html"
"javax.net.ssl";"http://developer.android.com/reference/javax/net/ssl/package-summary.html"
"javax.security.auth";"http://developer.android.com/reference/javax/security/auth/package-summary.html"
"javax.security.auth.callback";"http://developer.android.com/reference/javax/security/auth/callback/package-summary.html"
"javax.security.auth.login";"http://developer.android.com/reference/javax/security/auth/login/package-summary.html"
"javax.security.auth.x500";"http://developer.android.com/reference/javax/security/auth/x500/package-summary.html"
"javax.security.cert";"http://developer.android.com/reference/javax/security/cert/package-summary.html"
"javax.sql";"http://developer.android.com/reference/javax/sql/package-summary.html"
"javax.xml";"http://developer.android.com/reference/javax/xml/package-summary.html"
